fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,acid_to_sugar_ratio,bound_sulfur_dioxide,is_red
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,6.85,4.892822194127184,12.0,1
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,8.25,4.58330787051183,7.0,1
7.1,0.6799999999999999,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,7.779999999999999,4.094715290972153,21.0,1
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,8.445,4.222478887605562,8.0,1
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,7.445,3.1020704080399666,65.0,1
6.9,0.6799999999999999,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,7.58,3.0319878720485116,15.0,1
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,9.075,3.9456350189781784,98.0,1
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,7.625000000000001,0.7126161564334988,43.0,1
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,5.7700000000000005,3.205537747012517,37.0,1
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,8.445,1.5354517537240844,13.0,1
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,8.540000000000001,3.5583185070062213,12.0,1
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,8.76,4.171408707577583,17.0,1
5.7,0.6799999999999999,0.09,1.5,0.10800000000000001,7.0,19.0,0.994,3.5,0.48,9.8,4,6.47,4.31330457796948,12.0,1
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,8.11,1.3745739414000993,75.0,1
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,9.71,3.467844757697294,29.0,1
7.5,0.49,0.2,2.6,0.10800000000000001,8.0,14.0,0.9968,3.21,0.855,10.5,6,8.19,3.1499878846619818,6.0,1
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,0.855,10.3,5,8.98,4.081799628183508,14.0,1
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,7.489999999999999,4.161087993955588,6.0,1
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.66,0.56,13.1,4,5.27,2.5095118594673353,57.0,1
7.7,0.6799999999999999,0.43,2.2,0.10800000000000001,22.0,114.0,0.997,3.25,0.73,9.2,5,8.81,4.004527252148853,92.0,1
8.7,0.29,0.52,1.6,0.10800000000000001,12.0,37.0,0.9969,3.25,0.58,9.5,5,9.509999999999998,5.9437128517946745,25.0,1
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,7.030000000000001,4.39372253923413,7.0,1
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,6.279999999999999,4.48568224512682,84.0,1
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,9.72,5.7176134258033775,19.0,1
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,7.159999999999999,3.2545306612242664,7.0,1
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,7.14,3.399983809600906,8.0,1
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,9.34,3.113322955590148,89.0,1
7.6,0.51,0.15,2.8,0.10800000000000001,33.0,73.0,0.9955,3.17,0.63,10.2,6,8.26,2.9499894643233415,40.0,1
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,8.36,2.199994210541551,20.0,1
9.65,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,10.64,3.1294025605807043,6.0,1
7.5,0.63,0.12,5.1,0.10800000000000001,50.0,110.0,0.9983,3.26,0.77,9.4,5,8.25,1.617643886972771,60.0,1
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,8.57,3.7260707562141038,37.0,1
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,7.999999999999999,3.3333194445023144,37.0,1
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,9.600000000000001,4.363616529015777,33.0,1
7.7,0.6799999999999999,0.49,1.8,0.10800000000000001,20.0,112.0,0.9968,3.21,0.71,9.3,5,8.870000000000001,4.9277504013866595,92.0,1
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,8.18,4.305240498734217,23.0,1
7.0,0.6799999999999999,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,7.7299999999999995,3.864980675096624,41.0,1
7.2,0.6799999999999999,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,7.93,1.7053726766178996,7.0,1
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,8.129999999999999,5.419963866907553,28.0,1
6.6,0.6799999999999999,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,7.35,4.593721289241942,9.0,1
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,10.190000000000001,5.094974525127375,38.0,1
8.0,0.6799999999999999,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.855,10.5,6,8.73,4.594712659407056,11.0,1
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,8.41,4.426292493197404,12.0,1
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,8.600000000000001,4.095218594197171,79.0,1
7.7,0.6799999999999999,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,8.600000000000001,4.5262919668843855,76.0,1
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,9.235000000000001,4.397598106675683,32.0,1
9.65,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,10.510000000000002,4.203983184067265,55.0,1
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,9.850000000000001,4.477252376125564,33.0,1
6.8,0.6799999999999999,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,7.4799999999999995,3.116653680609664,16.0,1
6.7,0.6799999999999999,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,7.5,3.7499812500937493,68.0,1
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,0.855,9.1,4,9.125,6.083292778048146,92.0,1
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,6.8500000000000005,4.281223242354735,12.0,1
7.8,0.43,0.6400000000000001,1.9,0.10800000000000001,22.0,67.0,0.9974,3.13,0.855,9.4,5,8.870000000000001,4.668396482123779,45.0,1
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,8.370000000000001,4.184979075104625,52.0,1
7.3,0.67,0.26,1.8,0.10800000000000001,16.0,51.0,0.9969,3.16,0.855,9.4,5,8.23,4.572196821128771,35.0,1
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,7.08,3.9333114816028796,43.0,1
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,7.6000000000000005,3.45452975213749,21.0,1
8.6,0.49,0.28,1.9,0.10800000000000001,20.0,136.0,0.9972,2.93,0.855,9.9,6,9.37,4.931552991826359,116.0,1
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,8.45,4.44734501397361,22.0,1
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,0.855,9.5,5,10.13,4.8237865533973645,91.0,1
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,7.7,4.2777540124777085,16.0,1
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,8.68,4.568397008436798,98.0,1
8.6,0.49,0.29,2.0,0.10800000000000001,19.0,133.0,0.9972,2.93,0.855,9.8,5,9.379999999999999,4.689976550117248,114.0,1
5.0,0.6799999999999999,0.04,1.4,0.045,41.0,85.0,0.9938,3.66,0.48,10.5,4,5.72,4.085685102249269,44.0,1
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.66,0.6,12.9,6,5.47,2.3782505293455247,89.0,1
6.8,0.6799999999999999,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,7.4799999999999995,2.4933250222499255,15.0,1
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,7.75,3.8749806250968746,19.0,1
7.6,0.6799999999999999,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,8.34,3.3359866560533757,5.0,1
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,8.825,4.644712396250545,22.0,1
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,9.21,4.385693401459993,39.0,1
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,8.600000000000001,4.5262919668843855,14.0,1
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,8.895,4.235694115742305,53.0,1
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,7.930000000000001,3.6045290703224073,31.0,1
7.8,0.41,0.6400000000000001,1.7,0.10800000000000001,18.0,69.0,0.9973,3.08,0.855,9.3,5,8.85,5.205851730283939,51.0,1
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,7.14,4.199975294262975,49.0,1
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,8.86,3.5439858240567035,62.0,1
8.1,0.6799999999999999,0.52,2.0,0.10800000000000001,37.0,153.0,0.9969,3.21,0.69,9.3,5,9.299999999999999,4.649976750116249,116.0,1
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.855,9.5,5,8.549999999999999,4.7499736112577144,35.0,1
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,9.11,4.140890268680597,97.0,1
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,9.1,4.136344834796205,97.0,1
9.65,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,10.4,4.52171947078491,24.0,1
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,10.110000000000001,4.595433657119741,49.0,1
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,9.12,4.799974736975068,29.0,1
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,8.479999999999999,4.239978800105999,21.0,1
8.8,0.55,0.04,2.2,0.10800000000000001,14.0,56.0,0.9962,3.21,0.6,10.9,6,9.39,4.268162417443557,42.0,1
7.0,0.6799999999999999,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,7.76,4.311087160626885,67.0,1
7.3,0.6799999999999999,0.09,1.7,0.10800000000000001,10.0,89.0,0.9962,3.3,0.57,9.0,5,8.07,4.7470308998182364,79.0,1
7.3,0.6799999999999999,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,7.9799999999999995,3.1919872320510714,10.0,1
8.0,0.6799999999999999,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,8.68,3.338448698274237,23.0,1
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,8.47,5.293716914269286,81.0,1
9.0,0.62,0.04,1.9,0.10800000000000001,27.0,90.0,0.9984,3.16,0.7,9.4,5,9.659999999999998,5.084183767453855,63.0,1
8.2,0.6799999999999999,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,8.879999999999999,5.22349868530185,9.0,1
8.1,0.6799999999999999,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,8.78,4.877750679162893,9.0,1
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.855,10.5,7,8.75,4.861084105088305,13.0,1
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,6.63,3.6833128704840528,13.0,1
8.0,0.6799999999999999,0.56,2.0,0.10800000000000001,30.0,134.0,0.9968,3.24,0.66,9.4,5,9.24,4.6199769001155,104.0,1
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,6.1899999999999995,2.6912926465537104,82.0,1
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,7.109999999999999,4.739968400210665,9.0,1
7.9,0.6799999999999999,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,8.63,3.922709442229808,16.0,1
8.4,0.6799999999999999,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,9.19,4.836816648333429,47.0,1
8.3,0.6799999999999999,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,9.13,5.072194043366426,42.0,1
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,7.9750000000000005,3.9874800625996873,32.0,1
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,8.549999999999999,4.071409183765791,90.0,1
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,8.549999999999999,4.274978625106874,91.0,1
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.66,0.79,14.0,6,5.54,3.077760679107338,36.0,1
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,6.77,3.982329515708731,17.0,1
8.1,0.67,0.55,1.8,0.10800000000000001,32.0,141.0,0.9968,3.17,0.62,9.4,5,9.32,5.177749012505486,109.0,1
5.8,0.6799999999999999,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,6.499999999999999,3.611091049494169,73.0,1
7.6,0.49,0.26,1.6,0.10800000000000001,10.0,88.0,0.9968,3.11,0.8,9.3,5,8.35,5.218717383016355,78.0,1
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,7.49,3.2565075804018244,18.0,1
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,9.04,3.228559898000364,32.0,1
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,8.1,3.857124489883381,6.0,1
9.2,0.52,0.6400000000000001,3.4,0.10800000000000001,32.0,69.0,0.9996,2.7799999999999994,0.855,9.4,4,10.36,3.047049861618054,37.0,1
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,8.129999999999999,4.516641574213476,74.0,1
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,7.949999999999999,1.4454519173601503,100.0,1
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,7.949999999999999,1.4454519173601503,100.0,1
7.1,0.6799999999999999,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,7.779999999999999,3.536347562056535,10.0,1
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,7.579999999999999,3.98945268709112,68.0,1
7.6,0.6799999999999999,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,8.309999999999999,4.154979225103873,13.0,1
7.6,0.6799999999999999,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,0.855,9.2,4,8.299999999999999,6.384566272567133,11.0,1
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,8.37,4.923500449997352,14.0,1
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,8.26,1.1315052993078092,85.0,1
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,8.15,1.1319428723015663,86.0,1
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,8.91,5.241145640319763,82.0,1
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,7.539999999999999,3.5904590930519373,83.0,1
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,7.88,4.9249692189423815,25.0,1
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,7.5,3.5714115647068345,33.0,1
7.5,0.6799999999999999,0.24,1.8,0.10800000000000001,15.0,63.0,0.9964,3.0,0.855,9.5,5,8.42,4.677751790267831,48.0,1
7.9,0.6799999999999999,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,8.61,4.783306759406892,4.0,1
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,8.59,4.294978525107374,12.0,1
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,8.07,4.24734606659965,18.0,1
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,7.89,3.944980275098624,28.0,1
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,7.44,4.959966933553776,30.0,1
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,8.44,3.669549262829292,30.0,1
7.0,0.6799999999999999,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,7.68,3.0719877120491517,13.0,1
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,9.55,3.9791500868746383,32.0,1
8.9,0.61,0.49,2.0,0.10800000000000001,23.0,110.0,0.9972,3.12,0.855,9.3,5,10.0,4.999975000125,87.0,1
7.2,0.6799999999999999,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,7.8999999999999995,3.1599873600505597,26.0,1
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,7.61,4.227754290253943,54.0,1
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,7.53,3.963137036120863,54.0,1
8.9,0.31,0.57,2.0,0.10800000000000001,26.0,85.0,0.9971,3.26,0.53,9.7,5,9.780000000000001,4.88997555012225,59.0,1
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5,8.27,4.134979325103374,53.0,1
7.7,0.6799999999999999,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5,8.48,3.2615259172080107,17.0,1
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,8.73,4.364978175109124,128.0,1
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,5,8.71,4.584186399018953,127.0,1
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,9.049999999999999,3.1206788942107093,106.0,1
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,7.0200000000000005,3.6947173962242306,28.0,1
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,5,7.55,1.9868368767450613,110.0,1
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,8.360000000000001,3.7999827273512397,21.0,1
7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5,8.72,4.3599782001089995,96.0,1
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5,8.18,3.4083191320036166,40.0,1
9.65,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.855,10.1,6,10.55,5.274973625131874,15.0,1
5.4,0.6799999999999999,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7,6.16,5.133290555912034,80.0,1
6.9,0.6799999999999999,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,7.64,3.638077913914695,19.0,1
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,7,10.39,7.421375561603132,15.0,1
8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,0.855,9.3,5,9.65,4.595216213256127,106.0,1
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,5,7.41,4.93996706688622,33.0,1
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5,7.77,4.856219648627195,23.0,1
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,7.79,4.868719570502684,23.0,1
9.65,0.3,0.6400000000000001,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,10.590000000000002,4.073061257456702,19.0,1
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,5,8.68,4.822195432247598,94.0,1
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,8.52,3.155543868356043,77.0,1
9.65,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.855,10.5,7,10.530000000000001,5.014261836848396,12.0,1
9.65,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.855,12.4,6,10.78,5.389973050134749,14.0,1
8.0,0.6799999999999999,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6,8.92,3.1857029082038992,52.0,1
9.65,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,10.2,6,10.73,5.109499478573912,10.0,1
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,5,9.03,4.104526797605465,37.0,1
7.8,0.6799999999999999,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,8.56,3.566651805617477,31.0,1
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,5,7.98,1.424997455361687,95.0,1
8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57,11.0,5,9.485,4.742476287618562,36.0,1
8.1,0.6799999999999999,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5,9.0,4.090890495952291,30.0,1
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5,8.18,4.305240498734217,34.0,1
7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,5,8.66,3.6083182986737556,120.0,1
7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6,8.51,4.254978725106374,34.0,1
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4,5,8.190000000000001,4.094979525102375,56.0,1
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5,7.45,4.966633555776295,5.0,1
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,9.495,4.747476262618687,20.0,1
8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,0.57,10.4,4,9.395,4.6974765126174365,40.0,1
